,time,iter,type,v_x,v_y,v_z,x,y,z,n_cells
555,157,2,BA,-208.18944697783076,-375.5087411260814,524.7429253999695,[5.36690647e+00 1.01841727e+02 1.00719424e-01],[ 7.25179856 99.65467626 -0.11510791],[ 8.76811594 99.73913043  2.7826087 ],1345
556,158,2,BA,-296.3441817985032,-371.61122826441215,620.795456097693,[19.125      20.09558824 14.96323529],[15.36879433 18.12056738 13.89361702],[15.75       18.89285714 14.87142857],1345
557,159,2,BA,-257.5557462219961,-85.18188900427369,609.7426350050293,[54.43571429 52.89285714 92.57142857],[56.44927536 50.96376812 91.43478261],[58.39705882 49.85294118 91.60294118],1345
558,160,2,BA,-235.48132502911807,-118.09970554430193,587.8645646397207,[20.97794118 52.5        -7.61764706],[20.62758621 58.45517241 -7.04137931],[ 20.49275362  59.67391304 -10.58695652],1345
559,161,2,BA,-175.3092481479968,-103.19214956797097,856.7340964538074,[105.42537313 145.47014925  80.3880597 ],[104.19565217 144.9057971   80.25362319],[104.0859375 144.7890625  81.140625 ],1345
560,162,2,BA,-255.6317243972246,-300.27165236598233,736.849807544997,[  40.8          59.82857143 -161.46428571],[  41.39705882   57.95588235 -162.28676471],[  41.10294118   58.125      -162.92647059],1345
561,163,2,BA,-216.38836934669496,-373.5021288902784,748.7705209598448,[  3.57664234 -34.00729927 -46.02189781],[  2.57246377 -34.85507246 -40.6884058 ],[  1.14184397 -35.70921986 -36.78014184],1345
562,164,2,BA,-35.95516080729328,-127.24069935673994,598.4187283776288,[10.53571429 -3.85714286 23.06428571],[ 9.42537313 -3.59701493 20.3880597 ],[10.32592593 -3.74074074 22.88888889],1345
563,165,2,BA,99.52050673514721,-267.08332020468777,589.4118969037299,[ 3.41304348 15.03623188 66.48550725],[ 0.89781022 16.61313869 68.02919708],[ 1.69343066 16.1459854  71.48905109],1345
564,166,2,BA,40.04038241444472,-89.77324386194913,797.1320002352527,[   7.81118881  100.51748252 -116.03496503],[   4.9084507    97.52816901 -116.14084507],[   4.88111888   92.41258741 -112.60839161],1345
565,167,2,BA,-246.1160431411105,88.1887434741703,789.4462889336581,[42.08333333  4.78472222 -9.90277778],[ 44.72857143   4.97142857 -12.47857143],[ 44.32374101   3.62589928 -12.45323741],1345
