,time,iter,type,v_x,v_y,v_z,x,y,z,n_cells
2645,58,2,PW,-1697.5344102771721,-2781.996434083284,-4462.8686742375,[340.24342105 497.90789474 509.78289474],[341.86842105 497.46710526 513.78289474],[335.72611465 498.1656051  516.19745223],1327
2646,59,2,PW,-1760.9972243710508,-2788.9043979140924,-4409.450075616602,[446.51824818 480.79562044 533.45985401],[442.15646259 481.07482993 532.42176871],[440.09395973 484.40268456 529.5033557 ],1327
2647,60,2,PW,-1735.4382085354705,-2846.00815439771,-4427.273438585105,[248.84459459 414.54054054 548.06756757],[247.5875  419.7625  546.96875],[244.45751634 424.49019608 546.81699346],1327
2648,61,2,PW,-1775.8176543511886,-2785.277976657413,-4332.6696766483155,[425.92207792 462.83116883 510.36363636],[423.45283019 468.70440252 509.33962264],[419.66242038 471.24840764 506.29936306],1327
2649,62,2,PW,-1726.9493745235313,-2993.0388261664143,-4502.1941935481045,[303.90967742 360.7483871  453.60645161],[304.21052632 358.19078947 459.07236842],[306.4875  358.7     463.85625],1327
2650,63,2,PW,-1797.6627366631706,-2954.168746953509,-4422.150708592669,[426.87741935 398.03870968 494.2       ],[423.59872611 401.03821656 496.60509554],[424.10067114 404.68456376 497.18120805],1327
2651,64,2,PW,-1720.2683827241467,-2909.9468618742235,-4412.569080096838,[223.33552632 458.84868421 516.47368421],[225.77124183 459.53594771 521.86928105],[230.78807947 459.82119205 521.23178808],1327
2652,65,2,PW,-1746.2203220579088,-2918.1756831558005,-4279.588268382083,[396.35897436 458.03205128 567.21153846],[399.78571429 456.90909091 572.77922078],[402.18841625 449.81075334 573.58895706],1327
2653,66,2,PW,-1928.8594115071508,-2892.4921184942978,-4222.95956668322,[379.94736842 500.19736842 606.78947368],[378.28846154 505.28846154 610.07692308],[373.60130719 507.39215686 612.85620915],1327
2654,67,2,PW,-1892.884030439085,-3024.7571309289997,-4100.225521715178,[272.5        402.49333333 479.32      ],[271.45578231 406.12244898 482.55102041],[274.78666667 409.46666667 481.9       ],1327
2655,68,2,PW,-2043.9722956219823,-3112.883714057179,-4085.57341207417,[327.87012987 530.61688312 502.35714286],[327.55629139 529.36423841 507.39735099],[330.36875 526.69375 511.2375 ],1327
2656,69,2,PW,-1937.8849917993643,-2971.577869739536,-4336.752793898422,[303.32704403 466.64779874 513.01257862],[307.16216216 464.33108108 512.82432432],[307.53896104 460.02597403 515.91558442],1327
2657,70,2,PW,-2119.6340094649076,-3172.1435101400007,-4267.108982423953,[228.61333333 414.88       457.13333333],[226.80851064 411.13475177 459.91489362],[227.49673203 415.13071895 461.38562092],1327
2658,71,2,PW,-1934.993530265736,-3186.88356565034,-4250.347749390939,[412.39583333 336.79861111 460.27083333],[414.48026316 341.         461.14473684],[416.53548387 345.63225806 460.21935484],1327
2659,72,2,PW,-1922.1106440998506,-3267.410022072587,-4282.356458007659,[319.41558442 596.07792208 545.16883117],[316.83108108 595.96621622 541.08108108],[313.         598.80536913 538.22818792],1327
2660,73,2,PW,-1928.750921773027,-3541.033858419142,-4186.234150329311,[222.70451034 516.13013699 513.91990814],[229.04487179 518.42307692 514.41025641],[231.00632911 516.84177215 519.73417722],1327
2661,74,2,PW,-1977.4918049284513,-3343.421199858963,-4085.1240253673386,[302.05263158 455.71052632 413.98684211],[302.80645161 460.56774194 412.70967742],[306.95       458.54285714 410.59285714],1327
2662,75,2,PW,-1955.55031979648,-3504.170042973013,-4125.8191579650575,[356.58219178 463.87671233 417.56164384],[351.53289474 463.61842105 418.22368421],[346.91333333 464.44       417.89333333],1327
2663,76,2,PW,-1825.3823079224676,-3620.408405009537,-4030.192697240474,[322.82269504 487.65964158 385.28865523],[319.98466033 492.24063256 384.85714286],[319.52913916 497.64025468 385.81045752],1327
2664,77,2,PW,-2014.1076180848818,-3488.6930139990363,-4032.256933824381,[433.12337662 407.44805195 493.13636364],[429.33333333 404.82222222 494.04444444],[426.05298013 409.60264901 495.84768212],1327
2665,78,2,PW,-2135.2505238756085,-3551.7490820678167,-3919.096377111401,[437.05797101 483.11594203 489.12318841],[432.31944444 481.4375     490.45833333],[430.18666667 477.22       492.13333333],1327
2666,79,2,PW,-2080.899831951582,-3451.978395080526,-3952.1149973704382,[349.69871795 434.66666667 575.5       ],[354.16883117 435.27272727 576.00649351],[358.5974026  436.47402597 577.62337662],1327
